,DenseNet121_0.25/layer1,DenseNet121_0.25_masked/layer1,DenseNet121_0.25_threshold/layer1,DenseNet121_0.5/layer1,DenseNet121_0.5_masked/layer1,DenseNet121_0.5_threshold/layer1,DenseNet121_1/layer1,DenseNet121_1_masked/layer1,DenseNet121_1_threshold/layer1
BC,0.9873575614672914,0.8350686857599935,0.9867441014867485,0.880632396550631,0.8985925161172097,0.9294444779360626,0.6965140569623622,0.8435700794500354,0.7668768159017765
BF,0.8336648245116137,0.8048967598213186,0.8622654507717388,0.843145466130016,0.7319223263794351,0.737612829068287,0.8091962844179184,0.9033653502858461,0.9126612772251597
BL,0.9859568280953087,0.9995601851851852,0.9183854848369654,0.962571686292426,0.9999877450980392,0.9999503968253969,0.8938024930113065,0.9975843081545004,0.6051917957333691
CF,0.9332067522220285,0.9997632575757577,0.9999498663101605,0.5713022950870155,0.7691518928323325,0.8452745023741471,0.9866933119645858,0.46404381276181345,0.32026477496484146
MA,0.6421875,1.0,0.7998608117816092,0.5957714160839161,0.9632661321785269,0.3839573948948949,0.9694963678437809,0.16278849365058762,0.5078027226749998
ML,0.8994233871011993,0.9840005988371597,0.8028707682061884,0.7281959281701386,0.8774956934780194,0.7601336240248058,0.9999609728235622,0.5861944048207677,0.43013256421332247
PP,0.5842621468443838,0.998383347270476,0.7768912506952169,0.2501648320980099,0.7506307671340837,0.18947560744292183,0.9999115562791735,0.36560791237628376,0.5206307684409588
SL,0.44732709855212743,0.3974890141221698,0.5584972843986926,0.9873675693529531,0.2749403122165596,0.10355401276964477,0.8730024903383832,0.903858787360275,0.969680883491814
WO,0.98515625,0.9125,1.0,0.6564953926282051,0.42684659090909094,0.5778960622710623,0.9999848658681489,0.402528431942086,0.38603395061728396
